Symbol,CoinName
007,007 coin
1337,1337
1CR,1Credit
1ST,FirstBlood
2015,2015 coin
2BACCO,2BACCO Coin
2GIVE,2GiveCoin
32BIT,32Bitcoin
365,365Coin
3DES,3DES
404,404Coin
42,42 Coin
4CHN,ChanCoin
611,SixEleven
808,808
888,Octocoin
8BIT,8BIT Coin
8BT,8 Circuit Studios
8S,Elite 888
ABC,AB-Chain
ABY,ArtByte
AC,Asia Coin
ACC,AdCoin
ACE,TokenStars
ACES,AcesCoin
ACID,AcidCoin
ACN,AvonCoin
ACOIN,ACoin
ACP,Anarchists Prime
ACT,ACT
ADA,Cardano
ADC,AudioCoin
ADCN,Asiadigicoin
ADL,Adelphoi
ADN,Aiden
ADST,Adshares
ADT,AdToken
ADX,AdEx
ADZ,Adzcoin
AE,Aeternity
AEC,AcesCoin
AEON,AeonCoin
AERO,Aero Coin
AGRS,Agoras Token
AGS,Aegis
AHT,Ahoolee
AHT*,Bowhead Health
AIB,AdvancedInternetBlock
AIR,AirToken
AIR*,Aircoin
ALC,Arab League Coin
ALEX,Alexandrite
ALF,AlphaCoin
ALIS,ALISmedia
ALN,AlienCoin
ALTOCAR,AltoCar
AM,AeroMe
AMB,Ambrosus
AMBER,AmberCoin
AMC,AmericanCoin
AMIS,AMIS
AMMO,Ammo Rewards
AMP,Synereo
AMS,Amsterdam Coin
AMT,Acumen
AMY,Amygws
ANAL,AnalCoin
ANC,Anoncoin
ANCP,Anacrypt
AND,AndromedaCoin
ANNC,AnonCoin
ANT,Aragon
ANTC,AntiLitecoin
ANTI,Anti Bitcoin
APC,AlpaCoin
APEX,ApexCoin
APPC,AppCoins
APT,Aptcoin
APX,Apx
AR,Cappasity
AR*,Ar.cash
ARB,Arbit Coin
ARBI,Arbi
ARC*,ArcticCoin
ARCH,ArchCoin
ARCO,AquariusCoin
ARDR,Ardor
ARENA,Arena
ARG,Argentum
ARGUS,ArgusCoin
ARI,AriCoin
ARI*,BeckSang
ARK,ARK
ARM,Armory Coin
ARN,Aeron
ARNA*,ARNA Panacea
ARPA,ArpaCoin
ART*,Maecenas
ASAFE,Allsafe
ASN,Ascension Coin
AST,AirSwap
AST*,Astral
ATB,ATB coin
ATCC,ATC Coin
ATKN,A-Token
ATL,ATLANT
ATM,Autumncoin
ATMS,Atmos
ATOM,Atomic Coin
ATOM*,Cosmos
ATS,Authorship
ATX,ArtexCoin
AUR,Aurora Coin
AURS,Aureus
AUT,Autoria
AUTH,Authoreon
AV,Avatar Coin
AVA,Avalon
AVE,Avesta
AVT,AventCoin
AXIOM,Axiom Coin
AXR,AXRON
B3,B3 Coin
B@,BankCoin
BAC,BitalphaCoin
BAC*,LakeBanker
BAN,Babes and Nerds
BAR,TBIS token
BASH,LuckChain
BAT,Basic Attention Token
BAY,BitBay
BBCC,BaseballCardCoin
BBR,Boolberry
BBT,BrickBlock
BCAP,Blockchain Capital
BCCOIN,BitConnect Coin
BCF,BitcoinFast
BCH,Bitcoin Cash / BCC
BCN,ByteCoin
BCR,BitCredit
BCX,BattleCoin
BCY,BitCrystals
BELA,BelaCoin
BEN,Benjamins
BENJI,BenjiRolls
BERN,BERNcash
BEST,BestChain
BET,BetaCoin
BET*,DAO.casino
BFX,BitFinex Tokens
BHC,BighanCoin
BIC,Bikercoins
BIGUP,BigUp
BIOB,BioBar
BIOS,BiosCrypto
BIP,BipCoin
BIS,Bismuth
BIT16,16BitCoin
BITB,BitBean
BITCNY,bitCNY
BITOK,BitOKX
BITS,BitstarCoin
BITSD,Bits Digit
BITUSD,bitUSD
BITZ,Bitz Coin
BLAS,BlakeStar
BLAZR,BlazerCoin
BLC,BlakeCoin
BLITZ,BlitzCoin
BLK,BlackCoin
BLOCK,BlockNet
BLOCKPAY,BlockPay
BLRY,BillaryCoin
BLU,BlueCoin
BLUE,Ethereum Blue
BLX,Blockchain Index
BM,BitMoon
BM*,Bitcomo
BMC,Blackmoon Crypto
BMXT,Bitmxittz
BNB,Binance Coin
BNB*,Boats and Bitches
BNC,Benjacoin
BNT,Bancor Network Token
BNX,BnrtxCoin
BOAT,Doubloon
BOB,Bob Coin
BOG,Bogcoin
BOLI,BolivarCoin
BOMB,BombCoin
BON,BonesCoin
BON*,Bonpay
BOOM,BOOM Coin
BOS,BOScoin
BOSON,BosonCoin
BOSS,BitBoss
BOST,BoostCoin
BOTS,ArkDAO
BOU,Boulle
BQ,Bitqy
BQC,BQCoin
BQX,Bitquence
BRAIN,BrainCoin
BRAT,Brat
BRDD,BeardDollars
BRIT,BritCoin
BRK,BreakoutCoin
BRO,Bitradio
BRONZ,BitBronze
BRX,Breakout Stake
BS,BlackShadowCoin
BSC,BowsCoin
BSD,BitSend
BST,BitStone
BSTAR,Blackstar
BSTK,BattleStake
BSTY,GlobalBoost
BT,BuildTeam
BT1,Bitfinex Bitcoin Future
BT2,Bitcoin SegWit2X
BTA,Bata
BTB,BitBar
BTC,Bitcoin
BTCD,BitcoinDark
BTCL,BitluckCoin
BTCR,BitCurrency
BTCRY,BitCrystal
BTCS,Bitcoin Scrypt
BTCZ,BitcoinZ
BTD,Bitcloud
BTDX,Bitcloud 2.0
BTE,ByteCoin
BTG,Bitcoin Gold
BTG*,BitGem
BTLC,BitLuckCoin
BTM,BitMark
BTM*,Bytom
BTMI,BitMiles
BTPL,Bitcoin Planet
BTQ,BitQuark
BTS,Bitshares
BTTF,Coin to the Future
BTX,Bitcore
BTX*,BitcoinTX
BTZ,BitzCoin
BUCKS,SwagBucks
BUCKS*,GorillaBucks
BUK,CryptoBuk
BULLS,BullshitCoin
BURST,BurstCoin
BUZZ,BuzzCoin
BVC,BeaverCoin
BXC,Bitcedi
BXT,BitTokens
BYC,ByteCent
BamitCoin,BAM
C2,Coin.2
C20,Crypto20
CAB,CabbageUnit
CABS,CryptoABS
CABS*,CyberTrust
CACH,Cachecoin
CAG,Change
CAIX,CAIx
CALC,CaliphCoin
CAM,Camcoin
CAN*,CanYaCoin
CANN,CannabisCoin
CAP,BottleCaps
CARBON,Carboncoin
CAS,Cashaa
CASH,CashCoin
CASH*,Cash Poker Pro
CAT,BlockCAT
CAT*,BitClave
CAV,Caviar
CBD,CBD Crystals
CBX,CryptoBullion
CC,CyberCoin
CCC,CCCoin
CCN,CannaCoin
CCRB,CryptoCarbon
CCT*,Crystal Clear Token 
CCX,CoolDarkCoin
CDN,Canada eCoin
CDT,CoinDash
CDX,Cryptodex
CELL,SolarFarm
CESC,Crypto Escudo
CETI,CETUS Coin
CF,Californium
CFC,CoffeeCoin
CFI,Cofound.it
CFT,CryptoForecast
CFT*,Credo
CGA,Cryptographic Anomaly
CHA,Charity Coin
CHAO,23 Skidoo
CHASH,CleverHash
CHAT,ChatCoin
CHC,ChainCoin
CHESS,ChessCoin
CHIEF,TheChiefCoin
CHILD,ChildCoin
CHIP,Chip
CHOOF,ChoofCoin
CIN,CinderCoin
CINNI,CINNICOIN
CIR,CircuitCoin
CIRC,CryptoCircuits
CJ,CryptoJacks
CJC,CryptoJournal
CKC,Clockcoin
CLAM,CLAMS
CLICK,Clickcoin
CLINT,Clinton
CLOAK,CloakCoin
CLOUD,Cloud
CLOUT,Clout
CLR,CopperLark
CLUB, ClubCoin
CLUD,CludCoin
CLV,CleverCoin
CMC,CosmosCoin
CMP,Compcoin
CMPCO,CampusCoin
CMT,CometCoin
CNC,ChinaCoin
